"Year","Month","Day","HOUR","MINUTE","Avg_price","sum_amount"
2022,10,18,11,49,19596.587916666675,39.439920919999
2022,10,18,11,50,19593.18148214283,24.082015510000
2022,10,18,11,51,19582.69486021504,11.558900699999
2022,10,18,11,52,19586.360063291137,19.212873019999
2022,10,18,11,53,19583.180394736795,9.817369149999
2022,10,18,11,54,19581.670144578304,35.365655760000
2022,10,18,11,55,19581.269126819123,18.957202740000
2022,10,18,11,56,19574.887983539098,21.784446520000
2022,10,18,11,57,19567.5787244898,10.347580250000
2022,10,18,11,58,19569.67749253731,8.427064719999
2022,10,18,11,59,19565.324186046506,8.606200049999
2022,10,18,12,0,19571.327482678986,12.265595119999
2022,10,18,12,1,19576.127241379323,12.786153139999
2022,10,18,12,2,19570.58957654724,10.090963939999
2022,10,18,12,3,19579.2395064935,9.188945659999
2022,10,18,12,4,19579.216111111127,17.789799769999
2022,10,18,12,5,19577.92947743466,10.641967819999
2022,10,18,12,6,19580.61254113346,16.311263089999
2022,10,18,12,7,19583.888256410264,14.184950859999
2022,10,18,12,8,19585.70617437719,20.138536080000
2022,10,18,12,9,19588.86634315423,24.311649060000
2022,10,18,12,10,19593.134546783607,44.297387679999
2022,10,18,12,11,19601.53754189943,45.207754539999
2022,10,18,12,12,19601.656615384632,17.463761290000
2022,10,18,12,13,19602.41275252524,16.678668370000
2022,10,18,12,14,19602.767639593894,15.463617839999
2022,10,18,12,15,19598.530043956045,15.254729619999
2022,10,18,12,16,19597.546333333346,11.502717089999
2022,10,18,12,17,19603.736794871784,22.296604050000
2022,10,18,12,18,19596.935389049,12.202887639999
2022,10,18,12,19,19585.219059080962,23.867715890000
2022,10,18,12,20,19589.99935412025,10.894478169999
2022,10,18,12,21,19592.18603603604,10.982789759999
2022,10,18,12,22,19584.333087071263,8.23356129
2022,10,18,12,23,19580.37807692308,10.288494339999
2022,10,18,12,24,19578.28027918783,14.535839719999
2022,10,18,12,25,19583.36848635234,8.552706469999
2022,10,18,12,26,19589.419075144506,8.752620619999
2022,10,18,12,27,19590.719889196687,8.231366749999
2022,10,18,12,28,19594.187783375317,8.665125909999
2022,10,18,12,29,19599.196155088848,18.369371709999
2022,10,18,12,30,19600.038413098242,14.967116550000
2022,10,18,12,31,19603.258350305496,13.554453209999
2022,10,18,12,32,19608.7103125,28.661561220000
2022,10,18,12,33,19611.44315094338,26.333383060000
2022,10,18,12,34,19607.05442776737,21.917367570000
2022,10,18,12,35,19606.92386597936,9.195180569999
2022,10,18,12,36,19602.89931428567,18.703023389999
2022,10,18,12,37,19605.15278026905,10.115115139999
2022,10,18,12,38,19612.766334310836,31.123150050000
2022,10,18,12,39,19614.348497267758,8.716939209999
2022,10,18,12,40,19616.03376811595,8.194472240000
2022,10,18,12,41,19617.40567639258,11.442053559999
